"doc.id","title","citeulike.id","raw.title","raw.abstract"
39,"large n field theories string theory and gravity",231,"Large N Field Theories, String Theory and Gravity","We review the holographic correspondence between field theories and string/M theory, focusing on the relation between compactifications of string/M theory on Anti-de Sitter spaces and conformal field theories. We review the background for this correspondence and discuss its motivations and the evidence for its correctness. We describe the main results that have been derived from the correspondence in the regime that the field theory is approximated by classical or semiclassical gravity. We focus on the case of the N=4 supersymmetric gauge theory in four dimensions, but we discuss also field theories in other dimensions, conformal and non-conformal, with or without supersymmetry, and in particular the relation to QCD. We also discuss some implications for black hole physics."
40,"the largescale organization of metabolic networks",238,"The large-scale organization of metabolic networks.","In a cell or microorganism, the processes that generate mass, energy, information transfer and cell-fate specification are seamlessly integrated through a complex network of cellular constituents and reactions. {H}owever, despite the key role of these networks in sustaining cellular functions, their large-scale structure is essentially unknown. {H}ere we present a systematic comparative mathematical analysis of the metabolic networks of 43 organisms representing all three domains of life. {W}e show that, despite significant variation in their individual constituents and pathways, these metabolic networks have the same topological scaling properties and show striking similarities to the inherent organization of complex non-biological systems. {T}his may indicate that metabolic organization is not only identical for all living organisms, but also complies with the design principles of robust and error-tolerant scale-free networks, and may represent a common blueprint for the large-scale organization of interactions among all cellular constituents."
41,"functional and topological characterization of protein interaction networks",239,"Functional and topological characterization of protein interaction networks.","The elucidation of the cell's large-scale organization is a primary challenge for post-genomic biology, and understanding the structure of protein interaction networks offers an important starting point for such studies. We compare four available databases that approximate the protein interaction network of the yeast, Saccharomyces cerevisiae, aiming to uncover the network's generic large-scale properties and the impact of the proteins' function and cellular localization on the network topology. We show how each database supports a scale-free, topology with hierarchical modularity, indicating that these features represent a robust and generic property of the protein interactions network. We also find strong correlations between the network's structure and the functional role and subcellular localization of its protein constituents, concluding that most functional and/or localization classes appear as relatively segregated subnetworks of the full protein interaction network. The uncovered systematic differences between the four protein interaction databases reflect their relative coverage for different functional and localization classes and provide a guide for their utility in various bioinformatics studies."
42,"xml bioinformatics and data integration",242,"XML, bioinformatics and data integration.","Motivation: The eXtensible Markup Language (XML) is an emerging standard for structuring documents, notably for the World Wide Web. In this paper, the authors present XML and examine its use as a data language for bioinformatics. In particular, XML is compared to other languages, and some of the potential uses of XML in bioinformatics applications are presented. The authors propose to adopt XML for data interchange between databases and other sources of data. Finally the discussion is illustrated by a test case of a pedigree data model in XML. Contact: Emmanuel.Barillot@infobiogen.fr"
43,"systems biology a brief overview",248,"Systems Biology: A Brief Overview","To understand biology at the system level, we must examine the structure and dynamics of cellular and organismal function, rather than the char- acteristics of isolated parts of a cell or organism. Properties of systems, such as robustness, emerge as central issues, and understanding these properties may have an impact on the future of medicine. However, many breakthroughs in experimental devices, advanced software, and analytical methods are required before the achievements of systems biology can live up to their much-touted potential."
44,"computational systems biology",249,"Computational systems biology","Book Description Systems Biology is concerned with the quantitative study of complex biosystems at the molecular, cellular, tissue, and systems scales. Its focus is on the function of the system as a whole, rather than on individual parts. This exciting new arena applies mathematical modeling and engineering methods to the study of biological systems. This book is the first of its kind to focus on the newly emerging field of systems biology with an emphasis on computational approaches. The work covers new concepts, methods for information storage, mining and knowledge extraction, reverse engineering of gene and metabolic networks, as well as modelling and simulation of multi-cellular systems. Central themes include strategies for predicting biological properties and methods for elucidating structure-function relationships. From the Back Cover Computational systems biology is a field that aims to develop a systems level understanding of biological processes using computational techniques. This book presents a timely compendium of the state-of-the-art in this new era of biological understanding. A distinguished group of contributors reviews bioinformation engineering and data integration technologies along with biomedical applications. Different computational approaches to model and simulate biological systems are discussed. Current computational research efforts, comprehensively covered in this volume, are focused on regulatory, signaling and metabolic networks. As an exciting outlook new concepts for computer representations on multi-scales predicting emergent properties of biological systems are introduced. Andres Kriete is Associate Professor for Bioinformation Engineering at Drexel University, Philadelphia and Director of the Biocomputing Laboratory at the Coriell Institute for Medical Research. Roland Eils is Professor of Bioinformatics at the University of Heidelberg and Director of the Division of Theoretical Bioinformatics at the German Cancer Research Center (DKFZ) in Heidelberg."
45,"mapping weblog communities",260,"Mapping weblog communities","Websites of a particular class form increasingly complex networks, and new tools are needed to map and understand them. A way of visualizing this complex network is by mapping it. A map highlights which members of the community have similar interests, and reveals the underlying social network. In this paper, we will map a network of websites using Kohonen's self-organizing map (SOM), a neural-net like method generally used for clustering and visualization of complex data sets. The set of websites considered has been the Blogalia weblog hosting site (based at <A HREF=""http://www.blogalia.com/"">this http URL</A>), a thriving community of around 200 members, created in January 2002. In this paper we show how SOM discovers interesting community features, its relation with other community-discovering algorithms, and the way it highlights the set of communities formed over the network."
46,"understanding mobile contexts",263,"Understanding mobile contexts","Mobile urban environments present a challenge for context-aware computers because they differ from fixed indoor contexts such as offices, meeting rooms, and lecture halls in many important ways. Internal factors such as tasks and goals are different—external factors such as social resources are dynamic and unpredictable. An empirical, user-centred approach is needed to understand mobile contexts. In this paper, we present insights from an ethnomethodologically inspired study of 25 adult urbanites in Helsinki. The results describe typical phenomena in mobility: how situational and planned acts intermesh in navigation, how people construct personal and group spaces, and how temporal tensions develop and dissolve. Furthermore, we provide examples of social solutions to navigation problems, examine mobile multitasking, and consider design implications for mobile and context-aware human–computer interaction."
47,"shortest paths and load scaling in scalefree trees",267,"Shortest paths and load scaling in scale-free trees.","Szab&oacute;, Alava, and Kert&eacute;sz [Phys. Rev. E 66, 026101 (2002)] considered two questions about the scale-free random tree given by the m=1 case of the Barab&aacute;si-Albert (BA) model (identical with a random tree model introduced by Szymanski in 1987): what is the distribution of the node to node distances, and what is the distribution of node loads, where the load on a node is the number of shortest paths passing through it? They gave heuristic answers to these questions using a ``mean-field'' approximation, replacing the random tree by a certain fixed tree with carefully chosen branching ratios. By making use of our earlier results on scale-free random graphs, we shall analyze the random tree rigorously, obtaining and proving very precise answers to these questions. We shall show that, after dividing by N (the number of nodes), the load distribution converges to an integer distribution X with Pr(X=c)=2/[(2c+1)(2c+3)], c=0,1,2,..., confirming the asymptotic power law with exponent -2 predicted by Szab&oacute;, Alava, and Kert&eacute;sz. For the distribution of node-node distances, we show asymptotic normality, and give a precise form for the (far from normal) large deviation law. We note that the mean-field methods used by Szab&oacute;, Alava, and Kert&eacute;sz give very good results for this model."
48,"network biology understanding the cells functional organization",268,"Network biology: understanding the cell's functional organization.","A key aim of postgenomic biomedical research is to systematically catalogue all molecules and their interactions within a living cell. There is a clear need to understand how these molecules and the interactions between them determine the function of this enormously complex machinery, both in isolation and when surrounded by other cells. Rapid advances in network biology indicate that cellular networks are governed by universal laws and offer a new conceptual framework that could potentially revolutionize our view of biology and disease pathologies in the twenty-first century."
49,"the small world of human language",270,"The small world of human language.","Words in human language interact in sentences in non-random ways, and allow humans to construct an astronomic variety of sentences from a limited number of discrete units. This construction process is extremely fast and robust. The co-occurrence of words in sentences reflects language organization in a subtle manner that can be described in terms of a graph of word interactions. Here, we show that such graphs display two important features recently found in a disparate number of complex systems. (i) The so called small-world effect. In particular, the average distance between two words, d (i.e. the average minimum number of links to be crossed from an arbitrary word to another), is shown to be d approximately equal to 2-3, even though the human brain can store many thousands. (ii) A scale-free distribution of degrees. The known pronounced effects of disconnecting the most connected vertices in such networks can be identified in some language disorders. These observations indicate some unexpected features of language organization that might reflect the evolutionary and social history of lexicons and the origins of their flexibility and combinatorial nature."
50,"metabolomics and systems biology making sense of the soup",271,"Metabolomics and systems biology: making sense of the soup.","Novel techniques for acquiring metabolomics data continue to emerge. Such data require proper storage in suitably configured databases, which then permit one to establish the size of microbial metabolomes (hundreds of major metabolites) and allow the nature, organisation and control of metabolic networks to be investigated. A variety of algorithms for metabolic network reconstruction coupled to suitable modelling algorithms are the ground substances for the development of metabolic network and systems biology. Even qualitative models of metabolic networks, when subject to stoichiometric constraints, can prove highly informative, and are the first step to the quantitative models, which alone can allow the true representation of complex biochemical systems."
51,"genomic analysis of regulatory network dynamics reveals large topological changes",272,"Genomic analysis of regulatory network dynamics reveals large topological changes","Network analysis has been applied widely, providing a unifying language to describe disparate systems ranging from social interactions to power grids. It has recently been used in molecular biology, but so far the resulting networks have only been analysed statically1, 2, 3, 4, 5, 6, 7, 8. Here we present the dynamics of a biological network on a genomic scale, by integrating transcriptional regulatory information9, 10, 11 and gene-expression data12, 13, 14, 15, 16 for multiple conditions in Saccharomyces cerevisiae. We develop an approach for the statistical analysis of network dynamics, called SANDY, combining well-known global topological measures, local motifs and newly derived statistics. We uncover large changes in underlying network architecture that are unexpected given current viewpoints and random simulations. In response to diverse stimuli, transcription factors alter their interactions to varying degrees, thereby rewiring the network. A few transcription factors serve as permanent hubs, but most act transiently only during certain conditions. By studying sub-network structures, we show that environmental responses facilitate fast signal propagation (for example, with short regulatory cascades), whereas the cell cycle and sporulation direct temporal progression through multiple stages (for example, with highly inter-connected transcription factors). Indeed, to drive the latter processes forward, phase-specific transcription factors inter-regulate serially, and ubiquitously active transcription factors layer above them in a two-tiered hierarchy. We anticipate that many of the concepts presented here—particularly the large-scale topological changes and hub transience—will apply to other biological networks, including complex sub-systems in higher eukaryotes."
52,"fluctuations in network dynamics",280,"Fluctuations in network dynamics.","Most complex networks serve as conduits for various dynamical processes, ranging from mass transfer by chemical reactions in the cell to packet transfer on the Internet. We collected data on the time dependent activity of five natural and technological networks, finding that for each the coupling of the flux fluctuations with the total flux on individual nodes obeys a unique scaling law. We show that the observed scaling can explain the competition between the system's internal collective dynamics and changes in the external environment, allowing us to predict the relevant scaling exponents."
53,"analysis of weighted networks",281,"Analysis of weighted networks","The connections in many networks are not merely binary entities, either present or not, but have associated weights that record their strengths relative to one another. Recent studies of networks have, by and large, steered clear of such weighted networks, which are often perceived as being harder to analyze than their unweighted counterparts. Here we point out that weighted networks can in many cases be analyzed using a simple mapping from a weighted network to an unweighted multigraph, allowing us to apply standard techniques for unweighted graphs to weighted ones as well. We give a number of examples of the method, including an algorithm for detecting community structure in weighted networks and a simple proof of the maximum-flow–minimum-cut theorem."
54,"inferring network mechanisms the drosophila melanogaster protein interaction network",282,"Inferring Network Mechanisms: The Drosophila melanogaster Protein Interaction Network","Naturally occurring networks exhibit quantitative features revealing underlying growth mechanisms. Numerous network mechanisms have recently been proposed to reproduce specific properties such as degree distributions or clustering coefficients. We present a method for inferring the mechanism most accurately capturing a given network topology, exploiting discriminative tools from machine learning. The Drosophila melanogaster protein network is confidently and robustly (to noise and training data subsampling) classified as a duplication{\^a}mutation{\^a}complementation network over preferential attachment, small-world, and a duplication{\^a}mutation mechanism without complementation. Systematic classification, rather than statistical study of specific properties, provides a discriminative approach to understand the design of complex networks."
55,"metabolomics by numbers acquiring and understanding global metabolite data",289,"Metabolomics by numbers: acquiring and understanding global metabolite data","In this postgenomic era, there is a specific need to assign function to orphan genes in order to validate potential targets for drug therapy and to discover new biomarkers of disease. Metabolomics is an emerging field that is complementary to the other ‘omics and proving to have unique advantages. As in transcriptomics or proteomics, a typical metabolic fingerprint or metabolomic experiment is likely to generate thousands of data points, of which only a handful might be needed to describe the problem adequately. Extracting the most meaningful elements of these data is thus key to generating useful new knowledge with mechanistic or explanatory power."
56,"functional genomic hypothesis generation and experimentation by a robot scientist",292,"Functional genomic hypothesis generation and experimentation by a robot scientist","The question of whether it is possible to automate the scientific process is of both great theoretical interest1, 2 and increasing practical importance because, in many scientific areas, data are being generated much faster than they can be effectively analysed. We describe a physically implemented robotic system that applies techniques from artificial intelligence3, 4, 5, 6, 7, 8 to carry out cycles of scientific experimentation. The system automatically originates hypotheses to explain observations, devises experiments to test these hypotheses, physically runs the experiments using a laboratory robot, interprets the results to falsify hypotheses inconsistent with the data, and then repeats the cycle. Here we apply the system to the determination of gene function using deletion mutants of yeast (Saccharomyces cerevisiae) and auxotrophic growth experiments9. We built and tested a detailed logical model (involving genes, proteins and metabolites) of the aromatic amino acid synthesis pathway. In biological experiments that automatically reconstruct parts of this model, we show that an intelligent experiment selection strategy is competitive with human performance and significantly outperforms, with a cost decrease of 3-fold and 100-fold (respectively), both cheapest and random-experiment selection."
57,"here is the evidence now what is the hypothesis the complementary roles of inductive and hypothesisdriven science in the postgenomic era",293,"Here is the evidence, now what is the hypothesis? The complementary roles of inductive and hypothesis-driven science in the post-genomic era","Abstract It is considered in some quarters that hypothesis-driven methods are the only valuable, reliable or significant means of scientific advance. Data-driven or ‘inductive’ advances in scientific knowledge are then seen as marginal, irrelevant, insecure or wrong-headed, while the development of technology—which is not of itself ‘hypothesis-led’ (beyond the recognition that such tools might be of value)—must be seen as equally irrelevant to the hypothetico-deductive scientific agenda. We argue here that data- and technology-driven programmes are not alternatives to hypothesis-led studies in scientific knowledge discovery but are complementary and iterative partners with them. Many fields are data-rich but hypothesis-poor. Here, computational methods of data analysis, which may be automated, provide the means of generating novel hypotheses, especially in the post-genomic era. BioEssays 26:99–105, 2004. © 2003 Wiley Periodicals, Inc."
58,"highthroughput classification of yeast mutants for functional genomics using metabolic footprinting",296,"High-throughput classification of yeast mutants for functional genomics using metabolic footprinting.","Many technologies have been developed to help explain the function of genes discovered by systematic genome sequencing. At present, transcriptome and proteome studies dominate large-scale functional analysis strategies. Yet the metabolome, because it is 'downstream', should show greater effects of genetic or physiological changes and thus should be much closer to the phenotype of the organism. We earlier presented a functional analysis strategy that used metabolic fingerprinting to reveal the phenotype of silent mutations of yeast genes. However, this is difficult to scale up for high-throughput screening. Here we present an alternative that has the required throughput (2 min per sample). This 'metabolic footprinting' approach recognizes the significance of 'overflow metabolism' in appropriate media. Measuring intracellular metabolites is time-consuming and subject to technical difficulties caused by the rapid turnover of intracellular metabolites and the need to quench metabolism and separate metabolites from the extracellular space. We therefore focused instead on direct, noninvasive, mass spectrometric monitoring of extracellular metabolites in spent culture medium. Metabolic footprinting can distinguish between different physiological states of wild-type yeast and between yeast single-gene deletion mutants even from related areas of metabolism. By using appropriate clustering and machine learning techniques, the latter based on genetic programming, we show that metabolic footprinting is an effective method to classify 'unknown' mutants by genetic defect."
59,"a systematic approach to modeling capturing and disseminating proteomics experimental data",297,"A systematic approach to modeling, capturing, and disseminating proteomics experimental data.","Both the generation and the analysis of proteome data are becoming increasingly widespread, and the field of proteomics is moving incrementally toward high-throughput approaches. Techniques are also increasing in complexity as the relevant technologies evolve. A standard representation of both the methods used and the data generated in proteomics experiments, analogous to that of the MIAME (minimum information about a microarray experiment) guidelines for transcriptomics, and the associated MAGE (microarray gene expression) object model and XML (extensible markup language) implementation, has yet to emerge. This hinders the handling, exchange, and dissemination of proteomics data. Here, we present a UML (unified modeling language) approach to proteomics experimental data, describe XML and SQL (structured query language) implementations of that model, and discuss capture, storage, and dissemination strategies. These make explicit what data might be most usefully captured about proteomics experiments and provide complementary routes toward the implementation of a proteome repository."
60,"schemes of flux control in a model of saccharomyces cerevisiae glycolysis",306,"Schemes of flux control in a model of Saccharomyces cerevisiae glycolysis.","We used parameter scanning to emulate changes to the limiting rate for steps in a fitted model of glucose-derepressed yeast glycolysis. Three flux-control regimes were observed, two of which were under the dominant control of hexose transport, in accordance with various experimental studies and other model predictions. A third control regime in which phosphofructokinase exerted dominant glycolytic flux control was also found, but it appeared to be physiologically unreachable by this model, and all realistically obtainable flux control regimes featured hexose transport as a step involving high flux control."
61,"motifs modules and games in bacteria",309,"Motifs, modules and games in bacteria.","Global explorations of regulatory network dynamics, organization and evolution have become tractable thanks to high-throughput sequencing and molecular measurement of bacterial physiology. {F}rom these, a nascent conceptual framework is developing, that views the principles of regulation in term of motifs, modules and games. {M}otifs are small, repeated, and conserved biological units ranging from molecular domains to small reaction networks. {T}hey are arranged into functional modules, genetically dissectible cellular functions such as the cell cycle, or different stress responses. {T}he dynamical functioning of modules defines the organism's strategy to survive in a game, pitting cell against cell, and cell against environment. {P}lacing pathway structure and dynamics into an evolutionary context begins to allow discrimination between those physical and molecular features that particularize a species to its surroundings, and those that provide core physiological function. {T}his approach promises to generate a higher level understanding of cellular design, pathway evolution and cellular bioengineering."
62,"network dynamics and cell physiology",310,"Network dynamics and cell physiology","Complex assemblies of interacting proteins carry out most of the interesting jobs in a cell, such as metabolism, DNA synthesis, movement and information processing. These physiological properties play out as a subtle molecular dance, choreographed by underlying regulatory networks. To understand this dance, a new breed of theoretical molecular biologists reproduces these networks in computers and in the mathematical language of dynamical systems."
63,"a synthetic oscillatory network of transcriptional regulators",311,"A synthetic oscillatory network of transcriptional regulators.","Networks of interacting biomolecules carry out many essential functions in living cells, but the 'design principles' underlying the functioning of such intracellular networks remain poorly understood, despite intensive efforts including quantitative analysis of relatively simple systems. {H}ere we present a complementary approach to this problem: the design and construction of a synthetic network to implement a particular function. {W}e used three transcriptional repressor systems that are not part of any natural biological clock to build an oscillating network, termed the repressilator, in {E}scherichia coli. {T}he network periodically induces the synthesis of green fluorescent protein as a readout of its state in individual cells. {T}he resulting oscillations, with typical periods of hours, are slower than the cell-division cycle, so the state of the oscillator has to be transmitted from generation to generation. {T}his artificial clock displays noisy behaviour, possibly because of stochastic fluctuations of its components. {S}uch 'rational network design may lead both to the engineering of new cellular behaviours and to an improved understanding of naturally occurring networks."
64,"construction of a genetic toggle switch in escherichia coli",312,"Construction of a genetic toggle switch in Escherichia coli.","It has been proposed' that gene-regulatory circuits with virtually any desired property can be constructed from networks of simple regulatory elements. {T}hese properties, which include multistability and oscillations, have been found in specialized gene circuits such as the bacteriophage lambda switch and the {C}yanobacteria circadian oscillator. {H}owever, these behaviours have not been demonstrated in networks of non-specialized regulatory components. {H}ere we present the construction of a genetic toggle switch-a synthetic, bistable gene-regulatory network-in {E}scherichia coli and provide a simple theory that predicts the conditions necessary for bistability. {T}he toggle is constructed from any two repressible promoters arranged in a mutually inhibitory network. {I}t is flipped between stable states using transient chemical or thermal induction and exhibits a nearly ideal switching threshold. {A}s a practical device, the toggle switch forms a synthetic, addressable cellular memory unit and has implications for biotechnology, biocomputing and gene therapy."
65,"engineering stability in gene networks by autoregulation",314,"Engineering stability in gene networks by autoregulation.","The genetic and biochemical networks which underlie such things as homeostasis in metabolism and the developmental programs of living cells, must withstand considerable variations and random perturbations of biochemical parameters. {T}hese occur as transient changes in, for example, transcription, translation, and {RNA} and protein degradation. {T}he intensity and duration of these perturbations differ between cells in a population. {T}he unique state of cells, and thus the diversity in a population, is owing to the different environmental stimuli the individual cells experience and the inherent stochastic nature of biochemical processes (for example, refs 5 and 6). {I}t has been proposed, but not demonstrated, that autoregulatory, negative feedback loops in gene circuits provide stability, thereby limiting the range over which the concentrations of network components fluctuate. {H}ere we have designed and constructed simple gene circuits consisting of a regulator and transcriptional repressor modules in {E}scherichia coli and we show the gain of stability produced by negative feedback."
66,"a functional genomics strategy that uses metabolome data to reveal the phenotype of silent mutations",326,"A functional genomics strategy that uses metabolome data to reveal the phenotype of silent mutations.","A large proportion of the 6,000 genes present in the genome of Saccharomyces cerevisiae, and of those sequenced in other organisms, encode proteins of unknown function. Many of these genes are ""silent,"" that is, they show no overt phenotype, in terms of growth rate or other fluxes, when they are deleted from the genome. We demonstrate how the intracellular concentrations of metabolites can reveal phenotypes for proteins active in metabolic regulation. Quantification of the change of several metabolite concentrations relative to the concentration change of one selected metabolite can reveal the site of action, in the metabolic network, of a silent gene. In the same way, comprehensive analyses of metabolite concentrations in mutants, providing ""metabolic snapshots,"" can reveal functions when snapshots from strains deleted for unstudied genes are compared to those deleted for known genes. This approach to functional analysis, using comparative metabolomics, we call FANCY—an abbreviation for functional analysis by co-responses in yeast."
67,"document coorganization in an online knowledge community",431,"Document co-organization in an online knowledge community","We introduce the concept of ""document co-organization"" and describe such a system. By document co-organization we mean that individuals are allowed to hierarchically organize documents personally and share their hierarchies with others, while the system generates a ""consensus"" hierarchy from these personal hierarchies, which provides a full, common, and emergent view of all documents. By allowing users to retrieve documents from their own organization (hierarchy), another user's, the consensus hierarchy, or a time-based hierarchy, we provide access corresponding to different characteristics of knowledge tasks: they are personal, collective, social, and time-sensitive. In a class website experiment, we show that for a complex knowledge task, hierarchies are used more frequently than search. One surprising finding is how often students use others' personal hierarchies."
68,"inferring web communities from link topology",444,"Inferring Web Communities from Link Topology","dag&amp;x.berkeley.edu kleinberQcs.cornell.edu The World Wide Web grows through a decentralized, almost anarchic process, and this has resulted in a large hyperlinked corpus without the kind of logical organiza-tion that can be built into more tradit,ionally-created hy-permedia. To extract, meaningful structure under such circumstances, we develop a notion of hyperlinked com-munities on the www t,hrough an analysis of the link topology. By invoking a simple, mathematically clean method for defining and exposing the structure of these communities, we are able to derive a number of themes: The communities can be viewed as containing a core of central, “authoritative ” pages linked tog&amp;her by “hub pages ” ; and they exhibit a natural type of hierarchical topic generalization that can be inferred directly from the pat,t,ern of linkage. Our investigation shows that al-though the process by which users of the Web create pages and links is very difficult to understand at a “lo-cal ” level, it results in a much greater degree of orderly high-level structure than has typically been assumed."
69,"footprints historyrich tools for information foraging",446,"Footprints: History-Rich Tools for Information Foraging","Inspired by Hill and Hollan's original work [6], we have been developing a theory of interaction history and building tools to apply this theory to navigation in a complex information space. We have built a series of tools --- map, trails, annotations and signposts --- based on a physical-world navigation metaphor. These tools have been in use for over a year. Our user study involved a controlled browse task and showed that users were able to get the same amount of work done with significantly less effort."
70,"information foraging",448,"Information foraging","Information foraging theory is an approach to understanding how strategies and technologies for information seeking, gathering, and consumption are adapted to the flux of information in the environment. The theory assumes that people, when possible, will modify their strategies or the structure of the environment to maximize their rate of gaining valuable information. The theory is developed by (a) adaptation (rational) analysis of information foraging problems and (b) a detailed process model (adaptive control of thought in information foraging [ACT-IF]). The adaptation analysis develops (a) information patch models, which deal with time allocation and information filtering and enrichment activities in environments in which information is encountered in clusters; (b) information scent models, which address the identification of information value from proximal cues; and (c) information diet models, which address decisions about the selection and pursuit of information items. ACT-IF is instantiated as a production system model of people interacting with complex information technology. Humans actively seek, gather, share, and consume information to a degree unapproached by other organisms. Ours might properly be characterized as a species of informavores (Dennett, 1991). Our adaptive success depends to a large extent on a vast and complex"
71,"exploiting generative models in discriminative classifiers",449,"Exploiting generative models in discriminative classifiers","Generative probability models such as hidden Markov models providea principled way of treating missing information and dealingwith variable length sequences. On the other hand, discriminativemethods such as support vector machines enable us to constructflexible decision boundaries and often result in classification performancesuperior to that of the model based approaches. An idealclassifier should combine these two complementary approaches. Inthis paper, we develop a natural way of achieving this combinationby deriving kernel functions for use in discriminative methodssuch as support vector machines from generative probability models.We provide a theoretical justification for this combination aswell as demonstrate a substantial improvement in the classificationperformance in the context of DNA and protein sequence analysis.1 IntroductionSpeech, vision, text and biosequence data can be difficult to deal with in the contextof simple statistical classification problems. B..."
72,"spreading activation models for trust propagation",457,"Spreading Activation Models for Trust Propagation","Semantic Web endeavors have mainly focused on issues pertaining to knowledge representation and ontology design. However, besides understanding information metadata stated by subjects, knowing about their credibility becomes equally crucial. Hence, trust and trust metrics, conceived as computational means to evaluate trust relationships between individuals, come into play. Our major contributions to semantic Web trust management are twofold. First, we introduce our classification scheme for trust metrics along various axes and discuss advantages and drawbacks of existing approaches for semantic Web scenarios. Hereby, we devise our advocacy for local group trust metrics, guiding us to the second part which presents Appleseed, our novel proposal for local group trust computation. Compelling in its simplicity, Appleseed borrows many ideas from spreading activation models in psychology and relates their concepts to trust evaluation in an intuitive fashion."
73,"design and implementation of microarray gene expression markup language mageml",459,"Design and implementation of microarray gene expression markup language (MAGE-ML).","BACKGROUND: Meaningful exchange of microarray data is currently difficult because it is rare that published data provide sufficient information depth or are even in the same format from one publication to another. Only when data can be easily exchanged will the entire biological community be able to derive the full benefit from such microarray studies. RESULTS: To this end we have developed three key ingredients towards standardizing the storage and exchange of microarray data. First, we have created a minimal information for the annotation of a microarray experiment (MIAME)-compliant conceptualization of microarray experiments modeled using the unified modeling language (UML) named MAGE-OM (microarray gene expression object model). Second, we have translated MAGE-OM into an XML-based data format, MAGE-ML, to facilitate the exchange of data. Third, some of us are now using MAGE (or its progenitors) in data production settings. Finally, we have developed a freely available software tool kit (MAGE-STK) that eases the integration of MAGE-ML into end users' systems. CONCLUSIONS: MAGE will help microarray data producers and users to exchange information by providing a common platform for data exchange, and MAGE-STK will make the adoption of MAGE easier."
74,"network reachability of realworld contact sequences",482,"Network reachability of real-world contact sequences","We use real-world contact sequences, time-ordered lists of contacts from one person to another, to study how fast information or disease can spread across network of contacts. Specifically we measure the reachability time -- the average shortest time for a series of contacts to spread information between a reachable pair of vertices (a pair where a chain of contacts exists leading from one person to the other) -- and the reachability ratio -- the fraction of reachable vertex pairs. These measures are studied using conditional uniform graph tests. We conclude, among other things, that the network reachability depends much on a core where the path lengths are short and communication frequent, that clustering of the contacts of an edge in time tend to decrease the reachability, and that the order of the contacts really do make sense for dynamical spreading processes."
75,"a theory of problemsolving behavior",487,"A Theory of Problem-Solving Behavior","In this paper we develop a formal, testable theory of problem-solving behavior with special relevance to individuals and small groups. The theory is consistent with principles drawn from operant behavior and social exchange theories but also incorporates elements of cognitive psychology. Problem solving is defined as a nonroutine activity oriented toward changing an undesirable state of affairs. The focus on change differentiates problem solving from coping, which is oriented toward relieving feelings of stress. A decision-making model is presented, which takes the problem-solving process through its latter stages. The theory is based on two axioms and three theorems pertaining to the process of decision making. These axioms and theorems serve as the foundation for deriving 14 theorems that establish the antecedent conditions affecting decisions relevnat to each of four stages in the problem-solving process. This theory is distinguished from other problem-solving theories in its effort to account for conditions leading to awareness of problems and in its emphasis on generic problem-solving processes rather than on the effectiveness of problem-solving outcomes."
76,"sticky information and the locus of problem solving implications for innovation",490,"Sticky Information and the Locus of Problem Solving: Implications for Innovation","To solve a problem, needed information and problem-solving capabilities must be brought together. Often the information used in technical problem solving is costly to acquire, transfer, and use in a new location-is, in our terms, sticky. In this paper we explore the impact of information stickiness on the locus of innovation-related problem solving. We find, first, that when sticky information needed by problem solvers is held at one site only, problem solving will be carried out at that locus, other things being equal. Second, when more than one locus of sticky information is called upon by problem solvers, the locus of problem solving may iterate among these sites as problem solving proceeds. When the costs of such iteration are high, then, third, problems that draw upon multiple sites of sticky information will sometimes be task partitioned into subproblems that each draw on only one such locus, and/or, fourth, investments will be made to reduce the stickiness of information at some locations. Information stickiness appears to affect a number of issues of importance to researchers and practitioners. Among these are patterns in the diffusion of information, the specialization of firms, the locus of innovation, and the nature of problems selected by problem solvers."
77,"information diffusion through blogspace",491,"Information diffusion through blogspace","We study the dynamics of information propagation in environments of low-overhead personal publishing, using a large collection of weblogs over time as our example domain. We characterize and model this collection at two levels. First, we present a macroscopic characterization of topic propagation through our corpus, formalizing the notion of long-running “chatter” topics consisting recursively of “spike” topics generated by outside world events, or more rarely, by resonances within the community. Second, we present a microscopic characterization of propagation from individual to individual, drawing on the theory of infectious diseases to model the flow. We propose, validate, and employ an algorithm to induce the underlying propagation network from a sequence of posts, and report on the results."
78,"problems with fitting to the powerlaw distribution",492,"Problems with Fitting to the Power-Law Distribution","Abstract. This short communication uses a simple experiment to show that fitting to a power law distribution by using graphical methods based on linear fit on the log-log scale is biased and inaccurate. It shows that using maximum likelihood estimation (MLE) is far more robust. Finally, it presents a new table for performing the Kolmogorov-Smirnov test for goodness-of-fit tailored to power-law distributions in which the power-law exponent is estimated using MLE. The techniques presented here will advance the application of complex network theory by allowing reliable estimation of power-law models from data and further allowing quantitative assessment of goodness-of-fit of proposed power-law models to empirical data. PACS. 02.50.Ng Distribution theory and Monte Carlo studies -- 05.10.Ln Monte Carlo methods -- 89.75.-k"
